cambridge_id,cambridge_choice,hds_question,hds_choice,confidence,note
362,especially,122,especially,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
362,"expecially (or ""ecspecially"" or ""ekspecially"")",122,"expecially (or ""ecspecially"" or ""ekspecially"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
362,I use both interchangeably,122,I use both interchangeably,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
1,sub (or submarine),64,sub,medium,"featured MULTI-SELECT sandwich; % are share-of-respondents-selecting, not mutually exclusive -- not comparable to HDS single-select shares. Use verbatim C304 instead for validation."
1,hoagie,64,hoagie,medium,"featured MULTI-SELECT sandwich; % are share-of-respondents-selecting, not mutually exclusive -- not comparable to HDS single-select shares. Use verbatim C304 instead for validation."
1,hero,64,hero,medium,"featured MULTI-SELECT sandwich; % are share-of-respondents-selecting, not mutually exclusive -- not comparable to HDS single-select shares. Use verbatim C304 instead for validation."
1,poor boy (or po-boy),64,poor boy,medium,"featured MULTI-SELECT sandwich; % are share-of-respondents-selecting, not mutually exclusive -- not comparable to HDS single-select shares. Use verbatim C304 instead for validation."
2,soda,105,soda,medium,featured MULTI-SELECT carbonated beverage; co-selected answers co-locate as overlapping dots and alias to secondary colours. Use verbatim C345 for validation.
2,pop,105,pop,medium,featured MULTI-SELECT carbonated beverage; co-selected answers co-locate as overlapping dots and alias to secondary colours. Use verbatim C345 for validation.
2,coke,105,coke,medium,featured MULTI-SELECT carbonated beverage; co-selected answers co-locate as overlapping dots and alias to secondary colours. Use verbatim C345 for validation.
2,soft drink,105,soft drink,medium,featured MULTI-SELECT carbonated beverage; co-selected answers co-locate as overlapping dots and alias to secondary colours. Use verbatim C345 for validation.
2,soda pop,105,soda,medium,featured MULTI-SELECT carbonated beverage; co-selected answers co-locate as overlapping dots and alias to secondary colours. Use verbatim C345 for validation.
7,tennis shoes or tennishoes,73,tennis shoes,medium,featured sneakers; answer set reworded vs HDS q73. Verbatim twin is C313.
7,sneakers or sneaks,73,sneakers,medium,featured sneakers; answer set reworded vs HDS q73. Verbatim twin is C313.
7,running shoes,73,running shoes,medium,featured sneakers; answer set reworded vs HDS q73. Verbatim twin is C313.
7,shoes,73,shoes,medium,featured sneakers; answer set reworded vs HDS q73. Verbatim twin is C313.
7,trainers,73,trainers,medium,featured sneakers; answer set reworded vs HDS q73. Verbatim twin is C313.
13,crawfish,66,crawfish,medium,featured crawfish; verbatim twin C306.
13,crayfish,66,crayfish,medium,featured crawfish; verbatim twin C306.
13,"crawdad, crawdaddy",66,crawdad,medium,featured crawfish; verbatim twin C306.
20,you guys,50,you guys,medium,"featured address-a-group; adds 'all y'all','you people'; verbatim twin C290."
20,"y'all, ya'll",50,y'all,medium,"featured address-a-group; adds 'all y'all','you people'; verbatim twin C290."
20,you all,50,you all,medium,"featured address-a-group; adds 'all y'all','you people'; verbatim twin C290."
20,you,50,you,medium,"featured address-a-group; adds 'all y'all','you people'; verbatim twin C290."
20,you people,50,you,medium,"featured address-a-group; adds 'all y'all','you people'; verbatim twin C290."
21,"roly poly, rollie pollie, rolly polly",74,roly poly,medium,featured roly-poly; verbatim twin C314.
21,pillbug,74,pill bug,medium,featured roly-poly; verbatim twin C314.
21,potato bug,74,potato bug,medium,featured roly-poly; verbatim twin C314.
21,sow bug,74,sow bug,medium,featured roly-poly; verbatim twin C314.
30,sunshower,80,sunshower,medium,featured sunshower; verbatim twin C320.
30,"the devil is beating his wife, the devil is whipping his wife",80,the devil is beating his wife,medium,featured sunshower; verbatim twin C320.
30,liquid sun(shine),80,liquid sun,medium,featured sunshower; verbatim twin C320.
31,"sleep, sleeps, eye sleep",82,sleep,medium,featured eye-matter; verbatim twin C322.
31,"gunk, eye gunk, sleep gunk, guck, eye guck",82,gunk,medium,featured eye-matter; verbatim twin C322.
31,"sleepies, sleepy",82,sleep,medium,featured eye-matter; verbatim twin C322.
31,sand,82,sand,medium,featured eye-matter; verbatim twin C322.
68,garage sale,58,garage sale,medium,featured yard/garage sale; verbatim twin C298.
68,yard sale,58,yard sale,medium,featured yard/garage sale; verbatim twin C298.
68,"yard sale and garage sale are interchangeable, but I wouldn't use any of the others",58,yard sale,medium,featured yard/garage sale; verbatim twin C298.
68,rummage sale,58,rummage sale,medium,featured yard/garage sale; verbatim twin C298.
68,tag sale,58,tag sale,medium,featured yard/garage sale; verbatim twin C298.
68,car boot sale,58,car boot sale,medium,featured yard/garage sale; verbatim twin C298.
69,shopping cart,75,shopping cart,medium,featured shopping cart; verbatim twin C315.
69,grocery cart,75,grocery cart,medium,featured shopping cart; verbatim twin C315.
69,"buggy, shopping buggy",75,buggy,medium,featured shopping cart; verbatim twin C315.
69,"carriage, shopping carriage",75,carriage,medium,featured shopping cart; verbatim twin C315.
70,roundabout,84,roundabout,medium,featured roundabout/traffic circle; verbatim twin C324.
70,traffic circle,84,traffic circle,medium,featured roundabout/traffic circle; verbatim twin C324.
70,rotary,84,rotary,medium,featured roundabout/traffic circle; verbatim twin C324.
70,circle,84,circle,medium,featured roundabout/traffic circle; verbatim twin C324.
76,dinner,96,dinner takes place in a more formal setting than supper,medium,featured dinner/supper; verbatim twin C336.
76,supper,96,"supper is an evening meal while dinner is eaten earlier (lunch, for example)",medium,featured dinner/supper; verbatim twin C336.
76,"supper informally, and dinner in formal situations",96,"supper is an evening meal while dinner is eaten earlier (lunch, for example)",medium,featured dinner/supper; verbatim twin C336.
76,supper is an evening meal while dinner is eaten earlier,96,"supper is an evening meal while dinner is eaten earlier (lunch, for example)",medium,featured dinner/supper; verbatim twin C336.
76,dinner is a big meal; supper is a lighter meal,96,dinner takes place in a more formal setting than supper,medium,featured dinner/supper; verbatim twin C336.
78,(all),-,,reject,upholstered seat couch/sofa: no HDS counterpart.
79,beer store,118,beer barn,low,featured liquor store; HDS q118 is a *drive-through* liquor store specifically -- only partially comparable.
79,party store,118,party barn,low,featured liquor store; HDS q118 is a *drive-through* liquor store specifically -- only partially comparable.
84,take-out,119,take-out,medium,featured take-out; verbatim twin C359.
84,carry-out,119,carry-out,medium,featured take-out; verbatim twin C359.
84,take-away,119,take-out,medium,featured take-out; verbatim twin C359.
240,pop,105,pop,medium,extra 'Pop or soda?' forced-choice; narrower answer set than HDS q105. Verbatim twin is C345.
240,soda,105,soda,medium,extra 'Pop or soda?' forced-choice; narrower answer set than HDS q105. Verbatim twin is C345.
240,coke,105,coke,medium,extra 'Pop or soda?' forced-choice; narrower answer set than HDS q105. Verbatim twin is C345.
240,soft drink,105,soft drink,medium,extra 'Pop or soda?' forced-choice; narrower answer set than HDS q105. Verbatim twin is C345.
67,(all),-,,reject,aunt-vowel: recoded into 7 fine phonetic distinctions; HDS q1 codes aunt differently. Verbatim twin C241 is the clean map.
71,(all),-,,reject,rhoticity (pronounce r in car/cart): not an HDS question.
72,(all),-,,reject,linking/intrusive r in 'sawing': not an HDS question.
73,(all),-,,reject,intrusive r in 'blah-ish': not an HDS question.
74,(all),-,,reject,intrusive r in 'Shah of': not an HDS question.
75,(all),-,,reject,which/witch (wine-whine merger): not an HDS question.
77,(all),-,,reject,"queue vs line: UK-oriented, verbatim twin C333 is the map."
80,(all),-,,reject,restroom/bathroom/toilet: no HDS counterpart.
81,(all),-,,reject,emergency/parking brake: no HDS counterpart.
82,(all),-,,reject,stick-shift/manual: no HDS counterpart.
83,(all),-,,reject,pacifier/binky: no HDS counterpart.
85,(all),-,,reject,waterbug/water strider: verbatim twin C342 maps to HDS q102.
86,(all),-,,reject,alley/alleyway: no HDS counterpart.
87,(all),-,,reject,ATM/cash machine: no HDS counterpart.
88,(all),-,,reject,pinkie toe/little toe: no HDS counterpart.
89,(all),-,,reject,green onion/scallion: no HDS counterpart.
90,(all),-,,reject,"scone pronunciation: UK-oriented, no HDS counterpart."
91,(all),-,,reject,roll/bun: no HDS counterpart.
92,(all),-,,reject,"last vowel (TRAP-BATH): UK-oriented, no HDS counterpart."
93,(all),-,,reject,"ginnel/snicket: UK-only, ~0% US signal."
94,(all),-,,reject,chav/townie: UK-only.
95,(all),-,,reject,aitch/haitch: UK-oriented.
96,(all),-,,reject,underwear/knickers: no HDS counterpart.
99,(all),-,,reject,schedule sk/sh: UK-oriented.
100,(all),-,,reject,pants/trousers: UK-oriented.
104,(all),-,,reject,chip butty: UK-only.
106,(all),-,,reject,garbage man/bin man: bin man is UK; no clean HDS counterpart.
110,(all),-,,reject,drying rack/clothes horse: no HDS counterpart.
112,(all),-,,reject,soccer/football: no HDS counterpart.
114,(all),-,,reject,"truce/pax/barley: UK-oriented, no HDS counterpart."
115,(all),-,,reject,woodlouse/slater: UK-oriented; verbatim twin C314 maps to HDS q74.
